Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Class
-1.935041288,1.274520074,-1.655666914,-1.463504522,0.425751658,-0.489945337,-1.049520528,0.047498212,0
-3.551990136,1.807096243,-1.096529275,0.136089582,-0.955012744,0.026395307,0.678533322,0.295685773,0
-3.886101295,-0.546360854,-3.591976023,-0.034863443,-0.483798954,1.157523268,-0.62186277,-1.122687892,0
-0.026392008,1.489326206,-0.061155804,0.795981994,-0.659769628,-0.732851255,-0.363580603,0.374420216,0
-1.99960666,-0.425352017,-1.099944025,1.361517947,-0.424329981,0.574517742,-0.828491689,-1.048935547,0
-0.390411388,1.900156424,-1.805854464,1.29492058,-2.354812033,-3.460132111,2.485063391,-1.433386422,0
1.074322984,-2.570331396,-3.227112564,1.961344299,-0.874823804,-0.154187101,-0.830981313,-2.003849955,0
-0.087902268,1.570521355,-3.017763169,-1.932523525,0.772555535,-0.993184511,2.118152487,0.602418193,0
-2.498094399,1.382711784,0.46844396,-0.017611933,-1.185668329,-1.120889967,-0.248796312,-0.813099846,0
1.953059922,1.759739587,-1.780696303,0.162015396,0.85018606,1.958854385,-0.854859562,0.461592256,0
1.541271236,0.238104428,-1.042921073,2.152861876,1.504629408,0.379504155,-0.800935908,0.412892341,0
0.820832989,-1.455181058,-1.682040922,1.333728576,0.19910895,-1.419447507,-0.523025778,0.598327918,0
0.972186978,0.758238038,-3.702938092,-0.103473274,0.067053963,-1.294204185,-3.08564199,0.34569234,0
-0.337572725,2.209228837,-0.500555976,1.353675099,1.517258288,-1.039332513,-0.534910393,-1.279940286,0
2.324705699,1.850979197,1.329430914,2.979567707,-0.064814572,-1.837021957,1.840499872,-1.9887554,0
2.160702806,0.887468027,-3.136332403,-0.917089322,1.766739348,-1.097566242,-1.200748706,0.818222877,0
-0.327835502,1.660967184,-1.09060505,0.580886588,0.595357445,-0.423195446,-1.920247669,0.240003754,0
4.027569245,-0.937659568,0.377729719,-0.488642236,3.01771211,-0.129325506,2.325219422,-1.442737026,0
1.273755916,0.751422812,-0.246926266,0.762914031,-0.118609015,-2.184717808,-0.542054645,0.18265069,0
0.543058897,-1.356313619,-0.530927293,1.923908005,-0.777584362,-0.543164666,1.90757949,0.226079409,0
0.717942502,2.45800968,0.097958887,0.284469174,0.19570384,-1.857994693,0.505857646,-1.356658414,0
-1.658280768,1.521919444,-1.641712009,0.336484327,1.36650537,0.197621467,-1.746102041,-1.161540166,0
1.624580539,2.495510339,-1.579410325,0.591625606,1.341218941,-0.077710608,-1.296281491,-0.491263377,0
1.273983173,2.66553595,-1.161013517,-0.86250535,3.432511084,0.588864686,-0.484987812,-0.696125777,0
4.558726177,-0.314395074,1.302280289,-0.188632585,1.621954951,-0.904101707,-0.111076935,0.260405883,0
-0.582961757,1.937574041,0.857242119,1.131772794,1.469516008,0.89103126,2.219289256,1.050779141,0
0.99359625,-0.849364022,-1.231654785,2.571417717,1.685960303,0.492116902,0.911699589,1.569865728,0
0.359813861,1.622849213,-0.359571979,2.173098852,-0.912914452,-1.264422792,2.351702224,2.009031908,0
1.133903925,0.303620993,-0.942160911,0.681107775,-0.08596014,-2.425846778,2.574414188,1.110635141,0
0.298907848,1.01283741,-0.6003063,1.996042027,0.640881859,-0.870407384,0.738521067,1.956956562,0
4.669693938,-0.454165947,-0.037450624,-1.698581022,2.168473664,-1.886867165,2.715583796,-1.285100376,0
-0.073450437,1.002103009,-1.006432558,-0.886138833,1.184023411,-1.546688449,-0.079265747,1.36998674,0
-1.89485214,3.193332306,1.615909271,-0.472837879,0.041703223,-1.390304191,-0.872854127,0.277617715,0
-1.453363057,0.487248695,-0.778028444,-0.984790226,0.305504199,-3.417796803,-1.426063831,-0.344279397,0
-0.124398673,-0.103080842,-1.860829472,-0.501405534,1.370922256,0.166395428,-0.367446855,0.656745787,0
0.326935022,1.032914985,-1.95848193,-0.714934012,1.435631433,0.366352541,0.62983921,0.09629219,0
0.848055928,0.689461922,-1.945715465,-1.219207449,0.47641945,-1.052134711,0.155966812,0.447023367,0
-0.490539733,2.86120964,-1.886926494,-0.093874427,0.424090366,-0.044364152,0.252687033,-1.404517537,0
0.418496246,2.051451647,-0.623602,1.034826547,0.307042688,-2.978076952,-1.373583764,2.096884324,0
2.166439854,-1.169195969,-0.76368323,2.812274313,1.882088964,0.898499261,2.419396747,-0.109385065,0
